Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1341,2022-01-27,4,25,15,27,32,10,28,18,0,0,0,0,1,0,392680.55,392680.55,44,4,239971.6,5453.9,780,112,436293,559.35,1934,231,327232.8,169.2,28326,3301,2115952.2,74.7,38214,4569,1658487.6,43.4,177708,21275,3269827.2,18.4,516309,62343,5731029.9,11.1
1342,2022-02-03,22,18,11,26,21,16,31,8,0,0,0,0,2,0,641094.3,320547.15,81,8,391780.8,4836.8,1590,217,712320,448,3449,466,534250.1,154.9,48189,5956,3455151.3,71.7,66973,8788,2705709.2,40.4,302483,38591,5338824.95,17.65,869615,110794,9348361.25,10.75
1343,2022-02-10,19,32,5,31,3,26,16,6,0,0,0,0,7,0,900061.75,128580.25,116,16,550037.2,4741.7,2453,311,1000088.1,407.7,4407,561,750071.4,170.2,65041,8067,4848806.55,74.55,84169,11183,3800230.35,45.15,411201,51352,7504418.25,18.25,1198178,149200,13179958,11
1344,2022-02-17,24,7,34,22,13,30,6,10,0,0,0,0,18,1,1319934.6,73329.7,174,18,806629.2,4635.8,3255,382,1466540.25,450.55,6800,851,1099900,161.75,97464,12230,7114872,73,125846,16269,5574977.8,44.3,609656,75230,11004290.8,18.05,1768960,219122,19281664,10.9
1345,2022-02-24,6,15,9,27,32,28,33,8,2,1,126618114,63309056.98,36,20,2785892.4,77385.9,349,81,1702491.8,4878.2,6640,1475,3095568,466.2,14200,1901,2321700,163.5,204888,25310,15008046,73.25,272364,36982,11766124.8,43.2,1293782,159241,23223386.9,17.95,3765831,460076,40670974.8,10.8
1346,2022-03-03,4,27,24,28,2,12,18,4,0,0,0,0,0,0,0,0,33,1,362358.15,10980.55,513,41,249907.95,487.15,1275,159,187425,147,18293,2243,1211911.25,66.25,23594,2810,949658.5,40.25,108200,13278,1871860,17.3,303457,37508,3292508.45,10.85
1347,2022-03-10,15,29,5,19,13,16,35,16,0,0,0,0,1,0,299978.15,299978.15,40,4,183320,4583,812,114,333326,410.5,1511,185,249994.95,165.45,21960,2698,1616256,73.6,30280,3978,1267218,41.85,135463,15748,2499292.35,18.45,387402,44693,4377642.6,11.3
1348,2022-03-17,23,19,2,17,7,25,13,13,2,0,20000000,10000000,25,0,465303.75,18612.15,94,9,284354.7,3025.05,1557,108,517001.85,332.05,3362,369,387806.7,115.35,44104,5053,2507312.4,56.85,59459,6411,1965119.95,33.05,243290,29552,3880475.5,15.95,654825,79577,6810180,10.4
1349,2022-03-24,9,21,5,23,32,4,28,20,0,0,0,0,1,0,220586.35,220586.35,25,1,134802.5,5392.1,416,31,245086.4,589.15,1029,131,183830.85,178.65,16263,1966,1188825.3,73.1,20651,2464,931360.1,45.1,102324,12417,1836715.8,17.95,298596,36099,3224836.8,10.8
1350,2022-03-31,6,28,10,34,26,27,13,11,0,0,0,0,2,0,308956.1,154478.05,38,3,188806.8,4968.6,712,71,343290.8,482.15,1567,201,257458.1,164.3,23663,2889,1664692.05,70.35,28463,3335,1305028.55,45.85,148787,18454,2574015.1,17.3,430925,53346,4524712.5,10.5
