Combination,Count,Dates
17-26-30-32.0-35-40-nan,1,19/06/2014
17-24-32-33-41-nan-nan,1,30/03/2006
17-24-28-29-33-nan-nan,1,15/02/2007
17-24-26-34-45-nan-nan,1,21/08/2003
17-23-31-35-42-nan-nan,1,18/03/2004
17-22-24-26-43-nan-nan,1,26/04/2007
17-21-30-42-43-nan-nan,1,21/12/2000
17-20-26-33.0-34-37-nan,1,31/12/2015
17-20-21-22-24.0-31-34.0,1,18/01/2024
19-22-24-25-45-nan-nan,1,05/07/2007
19-21-31-41-44-nan-nan,1,19/06/2008
19-21-24-38-43-nan-nan,1,09/12/2010
19-21-22-25-31-nan-nan,1,09/04/1998
19-20-29-34-35-nan-nan,1,13/11/2003
19-20-26-39-45-nan-nan,1,23/09/1999
19-20-24.0-30-36-38-nan,1,27/04/2017
19-20-23-31.0-32-34-nan,1,31/03/2016
19-20-22-23-26-36.0-nan,1,21/01/2016
18.0-24-25-27-32-34-nan,1,01/01/2015
18-33-35-38-39-nan-nan,1,24/04/1997
18-32-37-40-44-nan-nan,1,19/07/2007
18-32-37-39-44-nan-nan,1,12/10/2006
18-27-31-33-41-nan-nan,1,25/11/2004
18-25-29-35-42-nan-nan,1,04/02/1999
18-23-25-38-39-nan-nan,1,20/07/2000
2-11-15-21-27-nan-nan,1,10/08/2000
2-11-14-33-38-nan-nan,1,12/04/2007
2-10-31-35-36-nan-nan,1,22/12/2005
2-10-27-28-38-nan-nan,1,24/06/1999
2-10-17-23.0-25-26-nan,1,21/09/2017
2-10-16-36-44-nan-nan,1,14/07/2011
2-10-15.0-32-34-37-nan,1,08/01/2015
2-10-14-15-34-nan-nan,1,23/02/2012
2-10-12-14-16-20.0-nan,1,05/09/2013
2-10-11-20-45-nan-nan,1,29/10/2009
19-31-36-41-45-nan-nan,1,10/02/2011
19-27-29-39-44-nan-nan,1,18/09/2003
19-26.0-27-33-34-37-nan,1,16/01/2014
19-24-33-35-41-nan-nan,1,12/04/2001
19-23-35-39-41-nan-nan,1,26/11/2009
19-22-28-30.0-31-40-nan,1,14/12/2017
2-12-30-32-39-nan-nan,1,13/04/2006
2-12-19-22-28-nan-nan,1,08/07/1999
2-12-18-26-42-nan-nan,1,16/10/2003
2-12-14-30-34-nan-nan,1,31/03/2011
2-12-14-20-30.0-38-nan,1,24/10/2013
2-12-14-18-19.0-23-25.0,1,24/05/2018
2-12-14-16-21.0-25-33.0,1,04/04/2019
2-12-13-28-43-nan-nan,1,29/01/1998
2-12-13-27-29-32.0-nan,1,15/09/2016
2-12-13-24-34-nan-nan,1,23/03/2006
2-11.0-15-20-22-25.0-29,1,03/10/2019
2-11-22-28-37-nan-nan,1,10/06/2010
2-11-21-32-40-nan-nan,1,11/02/2010
2-11-20-27-39-nan-nan,1,05/08/2004
2-11-18-23-27-nan-nan,1,10/03/2011
2-11-15-30-43-nan-nan,1,24/08/2000
2-15-16-31-32-nan-nan,1,08/01/1998
2-14-29-39-42-nan-nan,1,12/08/2004
2-14-26-31-33-nan-nan,1,25/09/2003
2-14-21-29-39-nan-nan,1,11/10/2012
2-14-15-21-22.0-32-nan,1,29/05/2014
2-13.0-14-16-18-23-28.0,1,27/08/2020
2-13-30-41-44-nan-nan,1,01/12/2011
2-13-29-30-38-nan-nan,1,18/09/2008
2-13-27-33-36-nan-nan,1,03/07/2008
2-13-23-24-35-nan-nan,1,28/06/2001
2-13-18-31-41-nan-nan,1,05/08/2010
2-13-17-22-33-nan-nan,1,05/04/2001
2-13-16-21-32-nan-nan,1,17/06/2004
2-13-16-17-34-nan-nan,1,29/07/1999
2-13-15-24.0-25-32-35.0,1,10/06/2021
2-13-14-23-31-nan-nan,1,01/08/2002
2-20-22-34-38-nan-nan,1,18/11/2010
2-19-28-34-38-nan-nan,1,13/01/2005
2-19-25-30-36-nan-nan,1,01/08/1996
2-19-22-27-36-nan-nan,1,11/12/2003
2-18-24-27-42-nan-nan,1,21/11/1996
2-17-42-43-44-nan-nan,1,17/01/2008
2-17-22-41-45-nan-nan,1,08/05/1997
2-17-19-24.0-27-35-nan,1,09/07/2015
2-17-18.0-24-25-26-nan,1,04/09/2014
2-16-31-40-45-nan-nan,1,30/12/2004
2-16-24-31-41-nan-nan,1,27/09/2012
2-16-19-29-43-nan-nan,1,21/02/2002
2-15-26-36-45-nan-nan,1,26/09/1996
2-15-26-29-41-nan-nan,1,17/08/2000
2-15-20-21-22.0-27.0-28,1,04/07/2019
2-15-19.0-21-34-39-nan,1,27/03/2014
2-3-37-41-44-nan-nan,1,02/09/1999
2-3-29-31-35-nan-nan,1,25/03/2010
2-3-21-22-32-nan-nan,1,08/11/2012
2-3-20-36-37-nan-nan,1,22/11/2007
2-3-14.0-15-26-27.0-28,1,28/09/2023
2-3-14-30-39-nan-nan,1,29/11/2007
2-3-13-14.0-21.0-24-35,1,05/11/2020
2-3-10.0-20-22.0-33-35,1,30/05/2024
2-27-31-32-40-nan-nan,1,05/05/2011
2-25-30-36-40-nan-nan,1,09/10/2008
2-24-25-35-39-nan-nan,1,31/07/2003
2-24-25-26-29.0-35-nan,1,09/10/2014
2-23-36-38-40-nan-nan,1,27/12/2001
2-21.0-26.0-28-31-32-33,1,09/07/2020
2-21-36-40-42-nan-nan,1,26/01/2006
2-21-22-26-30-nan-nan,1,22/03/2007
2-4-14-16-19.0-27.0-29,1,05/09/2019
2-4-13-24-44-nan-nan,1,10/01/2002
2-4-12.0-18.0-24-27-28,1,03/03/2022
2-4-12.0-18-19.0-27-34,1,09/04/2020
2-35-36-37-38-nan-nan,1,07/08/1997
